models,llama2,llama2,llama2,mistral,mistral,mistral,La3,La3,La3,l7,l7,l7,llama2-icl,llama2-icl,llama2-icl,mistral-icl,mistral-icl,mistral-icl,La3-icl,La3-icl,La3-icl,l7-icl,random
seed,663,2046,0,663,2046,0,663,2046,0,663,2046,0,663,2046,0,663,2046,0,663,2046,0,0,0
box-name,0.3006,0.3013,0.2959,0.2889,0.2831,0.2884,0.2955,0.2923,0.3043,0.302,0.3008,0.3026,0.326,0.3252,0.3271,0.3228,0.3204,0.3203,0.3048,0.3037,0.3054,0.3098,0.2018
agent-loc,0.9929,0.9929,0.9939,1,0.9969,0.9959,0.998,0.9969,0.9959,0.9929,0.9969,0.9939,0.3377,0.3581,0.353,0.4924,0.4914,0.4903,0.3388,0.3377,0.3327,0.3377,0.2208
box-content_u,0.1436,0.1455,0.14735,0.1416,0.14225,0.1421,0.1355,0.1351,0.1402,0.1438,0.1429,0.1455,0.1143,0.1127,0.1105,0.1394,0.1392,0.1372,0.14665,0.1472,0.1473,0.1251,0.0499
box-content_g,0.1792,0.18565,0.1818,0.1772,0.1767,0.1751,0.1673,0.16635,0.1694,0.1826,0.1809,0.1833,0.1377,0.1439,0.1431,0.1524,0.1521,0.1509,0.1363,0.13715,0.1407,0.14835,0.064583333
nearby_t,0.9003,0.9023,0.9145,0.9624,0.9613,0.9654,0.9664,0.9725,0.9634,0.9308,0.939,0.9247,0.3194,0.3479,0.3601,0.3357,0.4079,0.41,0.4781,0.4802,0.4883,0.4791,0.0539
held_u,0.6857,0.6857,0.6857,0.6907,0.6918,0.6918,0.708,0.707,0.6958,0.7101,0.7101,0.7101,0.6734,0.6734,0.6734,0.706,0.706,0.706,0.703,0.703,0.703,0.6999,0.4985
held_g,0.1292,0.1272,0.1241,0.1251,0.1251,0.1251,0.1261,0.1261,0.1282,0.1282,0.1312,0.1282,0.0793,0.0885,0.0824,0.1109,0.1078,0.1139,0.1221,0.1221,0.1241,0.0844,0.0956
subgoal,0.658,0.632,0.631,0.702,0.713,0.705,0.725,0.719,0.707,0.583,0.58,0.581,0.287,0.29,0.286,0.27,0.269,0.269,0.233,0.233,0.229,0.261,0.209
nextObj,0.8012,0.8042,0.7967,0.7528,0.764,0.7608,0.8197,0.815,0.8161,0.8259,0.8214,0.8244,0.196,0.2118,0.1988,0.2168,0.2031,0.2092,0.2137,0.2168,0.2168,0.2142,0.2182
nextObjDirect,0.9019,0.9086,0.8986,0.9311,0.9315,0.9338,0.9266,0.9259,0.9022,0.8909,0.9011,0.8953,0.2416,0.2451,0.2488,0.3174,0.3125,0.3165,0.2587,0.2742,0.2684,0.2216,0.1651
