models,llama2,llama2,llama2,mistral,mistral,mistral,La3,La3,La3,l7,l7,l7,llama2-icl,mistral-icl,La3-icl,l7-icl,random,4th
seed,663,2046,0,663,2046,0,663,2046,0,663,2046,0,0,0,0,0,0,0
box-name,0.348,0.348,0.341,0.342,0.342,0.3418,0.348,0.342,0.34,0.364,0.398,0.397,0.3705,0.3481,0.396,0.3625,0.2018,0.3386
agent-loc,0.9798,0.9778,0.9828,0.9939,0.9939,0.9859,0.9899,0.9909,0.9899,0.9616,0.9606,0.9596,0.3354,0.6727,0.3636,0.3465,0.201,0.296
box-content_u,0.12706,0.1263,0.13152,0.1331,0.1343,0.1394,0.12952,0.12382,0.1311,0.1295,0.1281,0.1279,0.08748,0.1307,0.1313,0.07292,0.05416,0.12042
box-content_g,0.1663,0.16646,0.16726,0.1719,0.1727,0.17172,0.1612,0.1594,0.1602,0.16624,0.1677,0.16704,0.17234,0.18122,0.1667,0.1117,0.0687,0.15716
nearby_t,0.8899,0.9253,0.9253,0.9566,0.9586,0.9545,0.9437,0.9366,0.9545,0.899,0.8899,0.898,0.4697,0.5687,0.4677,0.4727,0.0538,0.3313
held_u,0.5586,0.5596,0.5732,0.5697,0.5697,0.558,0.5717,0.5717,0.5717,0.5808,0.5808,0.5788,0.5808,0.575,0.5667,0.5616,0.3838,0.5828
held_g,0.1404,0.1394,0.1394,0.1374,0.1374,0.1374,0.1394,0.1455,0.1374,0.1414,0.1364,0.1364,0.1424,0.1323,0.1333,0.0909,0.0818,0.1242
subgoal,0.699,0.686,0.603,0.674,0.668,0.664,0.644,0.653,0.671,0.573,0.557,0.535,0.183,0.261,0.211,0.203,0.183,0.179
nextObj,0.8468,0.8393,0.8455,0.8795,0.878,0.8549,0.8796,0.8752,0.8782,0.8343,0.8269,0.8314,0.3231,0.4831,0.507,0.2691,0.2347,0.2098
nextObjDirect,0.9444,0.9437,0.9242,0.9439,0.9429,0.933,0.9413,0.9344,0.9364,0.8963,0.9004,0.9005,0.3773,0.5949,0.3799,0.3414,0.2451,0.3512
