models,random,phi3-pre,phi3-pre-mini,pythia-70m-pre,phi3-sft
seed,0,0,0,0,0
box-name,0.2018,0.518,0.452,0.344,0.388
agent-loc,0.201,0.8061,0.6576,0.2303,0.9859
box-content_u,0.05416,0.133,0.12042,0.11232,0.1364
box-content_g,0.0687,0.1705,0.15778,0.12708,0.175
nearby_t,0.0538,0.4566,0.4576,0.197,0.7424
held_u,0.3838,0.5606,0.5879,0.5606,0.5707
held_g,0.0818,0.1404,0.1343,0.0869,0.1384
subgoal,0.183,0.252,0.175,0.186,0.63
nextObj,0.2347,0.5172,0.4686,0.2057,0.8142
nextObjDirect,0.2451,0.696,0.4321,0.359,0.9197
